officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Shivajinagar H.O,411005,H.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,020-25534929,NA,NA,NA,NA
Shivali B.O,410406,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Pawananagar S.O,Shivajinagar H.O,NA,NA
Shivare B.O,412205,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Khed Shivapur Baug S.O,Shivajinagar H.O,NA,NA
Shivari B.O,412301,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Saswad S.O,Shivajinagar H.O,NA,NA
Shive B.O,410501,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Chakan S.O,Shivajinagar H.O,NA,NA
Shivnagar S.O,413116,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,02112-254365,NA,Shivajinagar H.O,NA,NA
Shriprayagdham B.O,412202,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,NA,Urulikanchan S.O,Shivajinagar H.O,NA,NA
Solu B.O,412105,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Alandi Devachi S.O,Shivajinagar H.O,NA,NA
Someshwarnagar S.O,412306,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,02112-282141,NA,Shivajinagar H.O,NA,NA
Sonari B.O,412301,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Saswad S.O,Shivajinagar H.O,NA,NA
Songaon B.O,413102,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,NA,Baramati S.O,Shivajinagar H.O,NA,NA
Sopannagar S.O,412301,S.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Purandhar,Pune,MAHARASHTRA,020-24470325,NA,Shivajinagar H.O,NA,NA
Supa S.O (Pune),412204,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,02112-285141,NA,Shivajinagar H.O,NA,NA
Surwad B.O,413103,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,NA,Bawada S.O,Shivajinagar H.O,NA,NA
Takali Bhima B.O,412208,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Talegaon Dhamdhere S.O,Shivajinagar H.O,NA,NA
Takave KH B.O,410405,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Kamshet S.O,Shivajinagar H.O,NA,NA
Takawe BK B.O,412106,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Vadgaon S.O (Pune),Shivajinagar H.O,NA,NA
Taklihaji B.O,412218,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Malthan S.O,Shivajinagar H.O,NA,NA
Talegaon Dabhade S.O,410506,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,02114-222439,NA,Shivajinagar H.O,NA,NA
Talegaon Dhamdhere S.O,412208,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,02137-272441,NA,Shivajinagar H.O,NA,NA
Talegaon G H S.O,410507,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Mawal,Pune,MAHARASHTRA,02114-2224411,NA,Shivajinagar H.O,NA,NA
Taleghar B.O,410509,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Ambegaon,Pune,MAHARASHTRA,NA,Dimbhe Colony S.O,Shivajinagar H.O,NA,NA
Taleran B.O,412409,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Otur S.O,Shivajinagar H.O,NA,NA
Tambad B.O,412213,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Nasrapur S.O,Shivajinagar H.O,NA,NA
Tambe B.O,410502,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Junnar S.O,Shivajinagar H.O,NA,NA
Tandali B.O,412211,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Nhavare S.O,Shivajinagar H.O,NA,NA
Tandulwadi B.O,413102,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,NA,Baramati S.O,Shivajinagar H.O,NA,NA
Taparewadi B.O,412205,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Khed Shivapur Baug S.O,Shivajinagar H.O,NA,NA
Tav B.O,412107,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Mulshi,Pune,MAHARASHTRA,NA,Panshet S.O,Shivajinagar H.O,NA,NA
Tavshi B.O,413104,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,NA,Bhavaninagar S.O (Pune),Shivajinagar H.O,NA,NA
Tekawade B.O,412104,B.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Rajewadi S.O,Shivajinagar H.O,NA,NA
Telewadi B.O,412207,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Daund,Pune,MAHARASHTRA,NA,Vagholi S.O,Shivajinagar H.O,NA,NA
Theur S.O,412110,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,020-26913320,NA,Shivajinagar H.O,NA,NA
Thugaon B.O,410512,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Ambegaon,Pune,MAHARASHTRA,NA,Peth S.O (Pune),Shivajinagar H.O,NA,NA
Tirpad B.O,410509,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Ambegaon,Pune,MAHARASHTRA,NA,Dimbhe Colony S.O,Shivajinagar H.O,NA,NA
Titeghar B.O,412206,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Bhor S.O,Shivajinagar H.O,NA,NA
Tiwai Hills B.O,410513,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Chas S.O (Pune),Shivajinagar H.O,NA,NA
Tokawade B.O,412402,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Vada S.O (Pune),Shivajinagar H.O,NA,NA
Tondal B.O,412312,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Veer S.O,Shivajinagar H.O,NA,NA
Udapur B.O,412409,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Otur S.O,Shivajinagar H.O,NA,NA
Udhat B.O,413104,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,NA,Bhavaninagar S.O (Pune),Shivajinagar H.O,NA,NA
Umbraj B.O,412412,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Pimpalwandi S.O (Pune),Shivajinagar H.O,NA,NA
Umbre Navlakh B.O,410507,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Talegaon G H S.O,Shivajinagar H.O,NA,NA
Undawadi K P B.O,413102,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,NA,Baramati S.O,Shivajinagar H.O,NA,NA
Undawadi Supa B.O,413102,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,NA,Baramati S.O,Shivajinagar H.O,NA,NA
Uralgaon B.O,412211,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Nhavare S.O,Shivajinagar H.O,NA,NA
Uravade B.O,412115,B.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Mulshi,Pune,MAHARASHTRA,NA,Pirangut S.O,Shivajinagar H.O,NA,NA
Urse B.O,410506,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Talegaon Dabhade S.O,Shivajinagar H.O,NA,NA
Uruli Devachi B.O,412308,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,NA,Phursungi S.O,Shivajinagar H.O,NA,NA
Urulikanchan S.O,412202,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,020-26926221,NA,Shivajinagar H.O,NA,NA
Utchil B.O,410502,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Junnar S.O,Shivajinagar H.O,NA,NA
Utroli B.O,412206,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Bhor S.O,Shivajinagar H.O,NA,NA
Vada S.O (Pune),412402,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,02135-284241,NA,Shivajinagar H.O,NA,NA
Vadaj B.O,410502,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Junnar S.O,Shivajinagar H.O,NA,NA
Vadapuri B.O,413106,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,NA,Indapur S.O,Shivajinagar H.O,NA,NA
Vadebholhai B.O,412207,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,NA,Vagholi S.O,Shivajinagar H.O,NA,NA
Vadeshwar B.O,412106,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Vadgaon S.O (Pune),Shivajinagar H.O,NA,NA
Vadgaon Anand B.O,412411,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Ala S.O (Pune),Shivajinagar H.O,NA,NA
Vadgaon Dalache B.O,412206,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Bhor S.O,Shivajinagar H.O,NA,NA
Vadgaon Ghenanad B.O,410501,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Chakan S.O,Shivajinagar H.O,NA,NA
Vadgaon Kandali B.O,412412,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Pimpalwandi S.O (Pune),Shivajinagar H.O,NA,NA
Vadgaon Kashimbeg B.O,410503,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Ambegaon,Pune,MAHARASHTRA,NA,Manchar S.O,Shivajinagar H.O,NA,NA
Vadgaon Nimbalkar S.O,412103,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,02112-272141,NA,Shivajinagar H.O,NA,NA
Vadgaon Peer B.O,410510,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Ambegaon,Pune,MAHARASHTRA,NA,Loni Dhamani S.O,Shivajinagar H.O,NA,NA
Vadgaon Rasai B.O,412211,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Nhavare S.O,Shivajinagar H.O,NA,NA
Vadgaon S.O (Pune),412106,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,02114-235426,NA,Shivajinagar H.O,NA,NA
Vadgaon Sahani B.O,412401,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Arvi S.O (Pune),Shivajinagar H.O,NA,NA
Vadhu BK B.O,412216,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,NA,Koregaon Bhima S.O,Shivajinagar H.O,NA,NA
Vadki B.O,412308,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,NA,Phursungi S.O,Shivajinagar H.O,NA,NA
Vagholi S.O,412207,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,020-27051052,NA,Shivajinagar H.O,NA,NA
Valati B.O,410504,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Ambegaon,Pune,MAHARASHTRA,NA,Narayangaon S.O,Shivajinagar H.O,NA,NA
Valha S.O,412305,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,02115-284121,NA,Shivajinagar H.O,NA,NA
Vanpuri B.O,412301,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Saswad S.O,Shivajinagar H.O,NA,NA
Vaphgaon B.O,410505,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Rajgurunagar S.O,Shivajinagar H.O,NA,NA
Varale B.O,410507,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Talegaon G H S.O,Shivajinagar H.O,NA,NA
Vardade B.O,411025,B.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Haveli,Pune,MAHARASHTRA,NA,I.A.T S.O,Shivajinagar H.O,NA,NA
Varkute KH B.O,413120,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,NA,Nimgaon Ketki S.O,Shivajinagar H.O,NA,NA
Varodi KH B.O,412206,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Bhor S.O,Shivajinagar H.O,NA,NA
Varoti BK B.O,412212,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Velhe,Pune,MAHARASHTRA,NA,Velhe S.O,Shivajinagar H.O,NA,NA
Varude B.O,410505,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Rajgurunagar S.O,Shivajinagar H.O,NA,NA
Varude B.O,412209,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Ranjangaon Ganpati S.O,Shivajinagar H.O,NA,NA
Varvand S.O,412215,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Daund,Pune,MAHARASHTRA,02119-283461,NA,Shivajinagar H.O,NA,NA
Varye BK B.O,412205,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Khed Shivapur Baug S.O,Shivajinagar H.O,NA,NA
Vasuli B.O,410501,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Chakan S.O,Shivajinagar H.O,NA,NA
Veer S.O,412312,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,02115-264834,NA,Shivajinagar H.O,NA,NA
Vehergaon B.O,410405,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Maval,Pune,MAHARASHTRA,NA,Kamshet S.O,Shivajinagar H.O,NA,NA
Velhe S.O,412212,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Velhe,Pune,MAHARASHTRA,02130-221230,NA,Shivajinagar H.O,NA,NA
Velu B.O,412205,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Khed Shivapur Baug S.O,Shivajinagar H.O,NA,NA
Velvand B.O,412206,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Bhor S.O,Shivajinagar H.O,NA,NA
Venavadi B.O,412206,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Bhor,Pune,MAHARASHTRA,NA,Bhor S.O,Shivajinagar H.O,NA,NA
Vetale B.O,412404,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Kadus S.O,Shivajinagar H.O,NA,NA
Vishnupuri B.O,410507,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Mawal,Pune,MAHARASHTRA,NA,Talegaon G H S.O,Shivajinagar H.O,NA,NA
Vithalwadi B.O,412208,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Shirur,Pune,MAHARASHTRA,NA,Talegaon Dhamdhere S.O,Shivajinagar H.O,NA,NA
Vyahali B.O,413120,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,NA,Nimgaon Ketki S.O,Shivajinagar H.O,NA,NA
Waghapur B.O,412104,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Rajewadi S.O,Shivajinagar H.O,NA,NA
Waki B.O,412306,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Baramati,Pune,MAHARASHTRA,NA,Someshwarnagar S.O,Shivajinagar H.O,NA,NA
Waki BK B.O,410501,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Chakan S.O,Shivajinagar H.O,NA,NA
Walchandnagar S.O,413114,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Indapur,Pune,MAHARASHTRA,02118-252241,NA,Shivajinagar H.O,NA,NA
Walki B.O,412207,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Daund,Pune,MAHARASHTRA,NA,Vagholi S.O,Shivajinagar H.O,NA,NA
Walunj B.O,412303,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Purandar,Pune,MAHARASHTRA,NA,Jejuri S.O,Shivajinagar H.O,NA,NA
Wangani B.O,412213,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Velhe,Pune,MAHARASHTRA,NA,Nasrapur S.O,Shivajinagar H.O,NA,NA
Washere B.O,412404,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Kadus S.O,Shivajinagar H.O,NA,NA
Watluj B.O,413105,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Daund,Pune,MAHARASHTRA,NA,Bhigwan R S S.O,Shivajinagar H.O,NA,NA
Winzer B.O,412213,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Velhe,Pune,MAHARASHTRA,NA,Nasrapur S.O,Shivajinagar H.O,NA,NA
Yavat R S B.O,412214,B.O,Non-Delivery,Pune Moffusil,Pune,Maharashtra,Daund,Pune,MAHARASHTRA,NA,Yavat S.O,Shivajinagar H.O,NA,NA
Yavat S.O,412214,S.O,Delivery,Pune Moffusil,Pune,Maharashtra,Daund,Pune,MAHARASHTRA,02119-274121,NA,Shivajinagar H.O,NA,NA
Yedgaon B.O,410504,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Narayangaon S.O,Shivajinagar H.O,NA,NA
Yenere B.O,410502,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Junnar,Pune,MAHARASHTRA,NA,Junnar S.O,Shivajinagar H.O,NA,NA
Yeniye BK B.O,410505,B.O,Delivery,Pune Moffusil,Pune,Maharashtra,Khed,Pune,MAHARASHTRA,NA,Rajgurunagar S.O,Shivajinagar H.O,NA,NA
Abhepuri B.O,412803,B.O,Delivery,Satara,Pune,Maharashtra,Wai,Satara,MAHARASHTRA,NA,Wai S.O,Satara H.O,NA,NA
Adarki BK S.O,415537,S.O,Delivery,Satara,Pune,Maharashtra,Phaltan,Satara,MAHARASHTRA,02160-243120,NA,Satara H.O,NA,NA
Adarki Khurd B.O,415537,B.O,Delivery,Satara,Pune,Maharashtra,Phaltan,Satara,MAHARASHTRA,NA,Adarki BK S.O,Satara H.O,NA,NA
Adul B.O,415205,B.O,Delivery,Satara,Pune,Maharashtra,Patan,Satara,MAHARASHTRA,NA,Malharpeth Karad S.O,Karad H.O,NA,NA
Agashivnagar B.O,415539,B.O,Delivery,Satara,Pune,Maharashtra,Karad,Satara,MAHARASHTRA,NA,Malakapur Karad S.O,Karad H.O,NA,NA
Ahir B.O,412806,B.O,Delivery,Satara,Pune,Maharashtra,Jawali,Satara,MAHARASHTRA,NA,Mahabaleshwar S.O,Satara H.O,NA,NA
Ahire B.O,412802,B.O,Delivery,Satara,Pune,Maharashtra,Khandala Bawada.,Satara,MAHARASHTRA,NA,Khandala Bavada S.O,Satara H.O,NA,NA
Akoshi B.O,412803,B.O,Delivery,Satara,Pune,Maharashtra,Wai,Satara,MAHARASHTRA,NA,Wai S.O,Satara H.O,NA,NA
Alewadi B.O,415012,B.O,Delivery,Satara,Pune,Maharashtra,Jawali,Satara,MAHARASHTRA,NA,Medha S.O,Satara H.O,NA,NA
Ambale B.O,415014,B.O,Delivery,Satara,Pune,Maharashtra,Patan,Satara,MAHARASHTRA,NA,Tarale S.O,Karad H.O,NA,NA
Ambavade S Wagholi B.O,415011,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Vaduth S.O,Satara H.O,NA,NA
Ambavawde KHD B.O,415112,B.O,Delivery,Satara,Pune,Maharashtra,Patan,Satara,MAHARASHTRA,NA,Dhebewadi S.O,Karad H.O,NA,NA
Ambawade B.O,415506,B.O,Delivery,Satara,Pune,Maharashtra,Khatav,Satara,MAHARASHTRA,NA,Vaduj S.O,Karad H.O,NA,NA
Ambawade B.O,415013,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Parali S.O,Satara H.O,NA,NA
Ambawade S Koregaon B.O,415021,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Kinhai S.O,Satara H.O,NA,NA
Ambedare Bk B.O,415002,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Sataracity S.O,Satara H.O,NA,NA
Ambheri B.O,415511,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Rahimatpur S.O,Satara H.O,NA,NA
Ambheri B.O,415527,B.O,Delivery,Satara,Pune,Maharashtra,Khatav,Satara,MAHARASHTRA,NA,Kuroli Sidheshwar S.O,Satara H.O,NA,NA
Ambrag B.O,415206,B.O,Delivery,Satara,Pune,Maharashtra,Karad,Satara,MAHARASHTRA,NA,Patan S.O (Satara),Karad H.O,NA,NA
Ambrule B.O,415205,B.O,Delivery,Satara,Pune,Maharashtra,Patan,Satara,MAHARASHTRA,NA,Malharpeth Karad S.O,Karad H.O,NA,NA
Anapatwadi B.O,415525,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Pimpode BK S.O,Satara H.O,NA,NA
Andali B.O,415508,B.O,Delivery,Satara,Pune,Maharashtra,Man,Satara,MAHARASHTRA,NA,Dahivadi S.O,Karad H.O,NA,NA
Andarud B.O,415523,B.O,Delivery,Satara,Pune,Maharashtra,Phaltan,Satara,MAHARASHTRA,NA,Phaltan S.O,Satara H.O,NA,NA
Andhari B.O,415002,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Sataracity S.O,Satara H.O,NA,NA
Andori B.O,415521,B.O,Delivery,Satara,Pune,Maharashtra,Khandala Bawada,Satara,MAHARASHTRA,NA,Lonand S.O,Satara H.O,NA,NA
Anewadi S.O,415020,S.O,Delivery,Satara,Pune,Maharashtra,Jawali,Satara,MAHARASHTRA,02378-240253,NA,Satara H.O,NA,NA
Angapur Vandan S.O,415019,S.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,02162-272220,NA,Satara H.O,NA,NA
Antavadi B.O,415106,B.O,Delivery,Satara,Pune,Maharashtra,Karad,Satara,MAHARASHTRA,NA,Masur S.O (Satara),Karad H.O,NA,NA
Apashinge (Rahimatpur) B.O,415511,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Rahimatpur S.O,Satara H.O,NA,NA
Apashinge S.O,415518,S.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,02162-265231,NA,Satara H.O,NA,NA
Apati B.O,412806,B.O,Delivery,Satara,Pune,Maharashtra,Jawali,Satara,MAHARASHTRA,NA,Mahabaleshwar S.O,Satara H.O,NA,NA
Aradgaon B.O,415521,B.O,Delivery,Satara,Pune,Maharashtra,Phaltan,Satara,MAHARASHTRA,NA,Lonand S.O,Satara H.O,NA,NA
Arale B.O,415011,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Vaduth S.O,Satara H.O,NA,NA
Are B.O,415002,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Sataracity S.O,Satara H.O,NA,NA
Arewadi B.O,415114,B.O,Delivery,Satara,Pune,Maharashtra,Karad,Satara,MAHARASHTRA,NA,Supane S.O,Karad H.O,NA,NA
Arvi B.O,415116,B.O,Delivery,Satara,Pune,Maharashtra,Koregaon,Satara,MAHARASHTRA,NA,Vathar Kiroli S.O,Satara H.O,NA,NA
Asagaon Vasahat B.O,415011,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Vaduth S.O,Satara H.O,NA,NA
Asale B.O,415513,B.O,Delivery,Satara,Pune,Maharashtra,Wai,Satara,MAHARASHTRA,NA,Pachvad S.O,Satara H.O,NA,NA
Asangaon B.O,415002,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Sataracity S.O,Satara H.O,NA,NA
Asani B.O,415012,B.O,Delivery,Satara,Pune,Maharashtra,Jawali,Satara,MAHARASHTRA,NA,Medha S.O,Satara H.O,NA,NA
Asare B.O,412803,B.O,Delivery,Satara,Pune,Maharashtra,Wai,Satara,MAHARASHTRA,NA,Wai S.O,Satara H.O,NA,NA
Asawali B.O,412802,B.O,Delivery,Satara,Pune,Maharashtra,Khandalabawada,Satara,MAHARASHTRA,NA,Khandala Bavada S.O,Satara H.O,NA,NA
Asia Plato B.O,412805,B.O,Non-Delivery,Satara,Pune,Maharashtra,Mahabaleshwar,Satara,MAHARASHTRA,NA,Panchagani S.O,Satara H.O,NA,NA
Asu B.O,415523,B.O,Delivery,Satara,Pune,Maharashtra,Phaltan,Satara,MAHARASHTRA,NA,Phaltan S.O,Satara H.O,NA,NA
Atake B.O,415539,B.O,Delivery,Satara,Pune,Maharashtra,Karad,Satara,MAHARASHTRA,NA,Malakapur Karad S.O,Karad H.O,NA,NA
Atit B.O,415519,B.O,Delivery,Satara,Pune,Maharashtra,Satara,Satara,MAHARASHTRA,NA,Nagthane S.O,Satara H.O,NA,NA
Atit B.O,412802,B.O,Delivery,Satara,Pune,Maharashtra,Khandalabawada,Satara,MAHARASHTRA,NA,Khandala Bavada S.O,Satara H.O,NA,NA
Aundh S.O,415510,S.O,Delivery,Satara,Pune,Maharashtra,Khatav,Satara,MAHARASHTRA,02161-262221,NA,Karad H.O,NA,NA
Avarde B.O,415014,B.O,Delivery,Satara,Pune,Maharashtra,Patan,Satara,MAHARASHTRA,NA,Tarale S.O,Karad H.O,NA,NA
Bahule S.O,415209,S.O,Delivery,Satara,Pune,Maharashtra,Patan,Satara,MAHARASHTRA,02372-286051,NA,Karad H.O,NA,NA
